PlayResult,ExitSpeed,Angle,Direction,BatterTeam,Batter,KorBB,Hit
Out,,,,CAL_MUS,"Fenn, Ryan",Undefined,0
Single,92.29594,-8.859014,16.237072,CAL_MUS,"Garza, Alejandro",Undefined,1
Undefined,,,,CAL_MUS,"Collins, Jack",Strikeout,0
Out,74.82878,36.415597,27.546229,CAL_MUS,"Murray, Casey",Undefined,0
Out,105.30487,58.966339,35.251426,CAL_MUS,"Kordic, Dylan",Undefined,0
Out,99.91885,19.762471,-28.741465,CAL_MUS,"Castellon, Nate",Undefined,0
Undefined,,,,CAL_MUS,"Thomas, Braxton",Strikeout,0
Out,99.582,8.300418,5.039003,CAL_MUS,"Fenn, Ryan",Undefined,0
Single,69.89239,-76.415581,4.763001,CAL_MUS,"Garza, Alejandro",Undefined,1
Out,100.45993,35.080586,10.253976,CAL_MUS,"Murray, Casey",Undefined,0
Out,98.80345,54.235607,6.627307,CAL_MUS,"Kordic, Dylan",Undefined,0
Undefined,,,,CAL_MUS,"Castellon, Nate",Strikeout,0
Single,101.64946,-4.487184,-21.907712,CAL_MUS,"Thomas, Braxton",Undefined,1
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
FieldersChoice,84.92626,-26.838958,0.860839,CAL_MUS,"Fenn, Ryan",Undefined,0
Undefined,,,,CAL_MUS,"Garza, Alejandro",Strikeout,0
Undefined,,,,CAL_MUS,"Collins, Jack",Strikeout,0
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Out,71.14993,-35.306363,33.089209,CAL_MUS,"Kordic, Dylan",Undefined,0
Undefined,,,,CAL_MUS,"Castellon, Nate",Strikeout,0
Single,71.98112,24.69452,11.398364,CAL_MUS,"Thomas, Braxton",Undefined,1
Double,95.55819,-7.05518,42.075079,CAL_MUS,"Daudet, Zach",Undefined,1
Undefined,,,,CAL_MUS,"Fenn, Ryan",Strikeout,0
Out,84.79498,58.516974,-15.633101,CAL_MUS,"Garza, Alejandro",Undefined,0
Undefined,,,,CAL_MUS,"Collins, Jack",Strikeout,0
Out,87.38063,43.151086,12.18362,CAL_MUS,"Murray, Casey",Undefined,0
Undefined,,,,CAL_MUS,"Kordic, Dylan",Strikeout,0
Single,49.10276,-69.386371,-131.776184,CAL_MUS,"Castellon, Nate",Undefined,1
Undefined,,,,CAL_MUS,"Thomas, Braxton",Strikeout,0
Undefined,,,,CAL_MUS,"Daudet, Zach",Strikeout,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Out,86.12981,39.930777,4.173441,CAL_MUS,"Fenn, Ryan",Undefined,0
Single,88.88323,-4.114824,-23.590221,CAL_MUS,"Garza, Alejandro",Undefined,1
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Single,18.23634,15.039958,-28.634732,CAL_MUS,"Fenn, Ryan",Undefined,1
Single,87.2847,-19.115407,8.51969,CAL_MUS,"Garza, Alejandro",Undefined,1
Out,85.1875,79.472687,80.039268,CAL_MUS,"Collins, Jack",Undefined,0
Out,77.87532,-15.929915,17.337552,CAL_MUS,"Murray, Casey",Undefined,0
HomeRun,106.4824,23.011532,1.087523,CAL_MUS,"Kordic, Dylan",Undefined,1
Out,91.14617,35.323647,3.766872,CAL_MUS,"Castellon, Nate",Undefined,0
Out,83.40949,-55.106191,-13.883668,CAL_MUS,"Thomas, Braxton",Undefined,0
Out,17.38929,35.114482,-16.524267,CAL_MUS,"Daudet, Zach",Undefined,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Double,77.75027,3.175904,-39.976878,CAL_MUS,"Fenn, Ryan",Undefined,1
Out,71.66131,-49.703146,-44.154247,CAL_MUS,"Garza, Alejandro",Undefined,0
Single,102.11953,12.617742,-23.90159,CAL_MUS,"Collins, Jack",Undefined,1
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Double,80.42905,54.590953,18.731831,CAL_MUS,"Kordic, Dylan",Undefined,1
Undefined,,,,CAL_MUS,"Castellon, Nate",Strikeout,0
Out,96.69352,31.278046,19.506979,CAL_MUS,"Daudet, Zach",Undefined,0
Out,92.9301,18.793878,-11.623805,CAL_MUS,"Vachini, Dante",Undefined,0
Double,95.2968,12.920094,-39.350605,CAL_MUS,"Fenn, Ryan",Undefined,1
Out,50.45437,33.572304,9.145094,CAL_MUS,"Garza, Alejandro",Undefined,0
Out,68.26772,-56.001148,-1.351408,CAL_MUS,"Collins, Jack",Undefined,0
Out,44.58566,10.821353,34.449575,CAL_MUS,"Murray, Casey",Undefined,0
Undefined,,,,CAL_MUS,"Kordic, Dylan",Strikeout,0
Undefined,,,,CAL_MUS,"Castellon, Nate",Strikeout,0
Undefined,,,,CAL_MUS,"Thomas, Braxton",Strikeout,0
Out,103.91647,13.940728,-5.452715,CAL_MUS,"Daudet, Zach",Undefined,0
Single,87.4762,-5.603489,43.094232,CAL_MUS,"Vachini, Dante",Undefined,1
Out,50.46787,1.254209,2.491637,CAL_MUS,"Fenn, Ryan",Undefined,0
